Product ID (#) *1,Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
80,Магаданская,332,880,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,1999-02-12,2022-03-05,3.12,Returned
81,Каша из камута,2787,950,Бакалея,Помогает поддерживать нормальный уровень гемоглобина в крови.,2006-03-07,2026-01-03,3.37,In Stock
82,Уксус,5236,333,Бакалея,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2007-01-07,2013-10-01,2.2,Returned
83,Сухое мясо,943,725,Мясо,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2016-02-18,2025-01-25,2.08,Available for Pickup
84,Пунш фруктовый,204,270,Напитки,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2006-01-18,2021-05-03,0.34,Sold
85,Рамбутан,2671,933,Фрукты,Помогает укрепить иммунную систему и защитить организм от инфекций.,2008-03-01,2028-07-02,2.06,Backorder
86,Хинкали,2722,371,Мясо,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2004-05-09,2023-04-21,0.44,Awaiting Review
87,Инжир,5797,912,Фрукты,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,1997-06-02,2011-03-11,1.6,Pending
88,Гранат,8358,588,Фрукты,Может использоваться в косметических процедурах для увлажнения кожи.,2005-03-02,2012-04-01,5.01,Temporarily Unavailable
89,Бритвенный станок,7518,649,Товары для дома,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2015-03-17,2016-01-02,4.37,Awaiting Review
90,Чабрец сушеный,5619,476,Бакалея,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2004-02-15,2005-04-02,1.65,Backorder
91,Шелковица,6159,525,Фрукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2008-01-16,2017-07-21,4.76,In Stock
92,Кунжут черный,8707,562,Бакалея,Может использоваться в косметических процедурах для увлажнения кожи.,2009-01-22,2018-01-18,1.38,Awaiting Review
93,Варенье,1024,842,Бакалея,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",1995-04-01,1995-04-03,1.73,Returned
94,Чебуреки,1667,209,Мясо,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2005-05-01,2010-01-05,1.17,Out of Stock
95,Сушеные грибы,3930,772,Бакалея,Помогает поддерживать нормальный уровень гемоглобина в крови.,2020-08-01,2028-10-05,0.47,Cancelled
96,Турнепс,5932,272,Овощи,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2001-05-05,2006-04-08,0.87,Delivered
97,Масло сливочное,4484,223,Молочные продукты,Подходит для использования в качестве основы для смузи и коктейлей.,2011-01-03,2019-07-01,1.06,Temporarily Unavailable
98,Отбеливатель,298,678,Товары для дома,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2019-01-25,2023-01-05,3.65,In Stock
99,Эмменталь,1910,119,Молочные продукты,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2012-02-14,2026-02-07,3.86,Awaiting Payment
100,Помело,9302,158,Фрукты,"Помогает улучшить состояние волос, ногтей и кожи.",2003-01-02,2004-01-05,4.87,Cancelled
101,Брокколи,8059,725,Овощи,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1998-06-01,2023-09-11,1.77,Backorder
102,Окорок,4612,145,Мясо,Помогает поддерживать оптимальный вес и форму тела.,2013-06-10,2022-03-05,1.03,In Stock
103,Персик,1489,321,Фрукты,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",1990-07-04,1995-02-04,3.84,Available for Pickup
104,Ласси,5915,411,Молочные продукты,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2021-02-03,2026-06-18,2.06,Shipping
105,Персик,347,76,Фрукты,Широко используется в традиционной и современной кухне.,2001-02-01,2026-05-01,4.1,Pending
106,Пармезан,6498,407,Молочные продукты,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2015-03-03,2017-02-24,4.13,Cancelled
107,Пакеты для растений,4209,81,Товары для дома,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2014-03-10,2018-02-05,3.37,Backorder
108,Слива,6503,72,Фрукты,Отличается хорошей совместимостью с другими продуктами питания.,2003-04-12,2025-01-12,1.08,New
109,Буженина,9499,802,Мясо,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",1994-03-22,2027-01-02,1.87,Cancelled
110,Шубат,2433,133,Молочные продукты,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2008-11-02,2023-01-01,0.65,Cancelled
111,Белый шоколад,3654,235,Бакалея,"Подходит для использования в диетах, направленных на снижение веса.",2007-07-08,2020-01-08,0.97,Backorder
112,Огурец,2805,301,Овощи,Отличается универсальностью применения в кулинарии и пищевой промышленности.,1992-02-06,2018-02-12,3.73,Refunded
113,Гамбургеры,8670,35,Мясо,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",1996-06-06,1999-01-20,2.12,Temporarily Unavailable
114,Адыгейский сыр,4218,532,Молочные продукты,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2013-03-22,2028-03-20,2.39,Awaiting Payment
115,Пастернак,8866,157,Овощи,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,1991-01-01,2008-08-08,2.38,Sold
116,Вилки,3843,694,Товары для дома,Широко используется в традиционной и современной кухне.,2022-01-16,2023-04-08,2.48,Awaiting Payment
117,Сухое молоко,6454,115,Бакалея,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",1992-03-08,2006-01-01,1.72,Shipping
118,Манго,2190,115,Фрукты,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",1999-01-02,2025-03-05,2.83,Sold
119,Бритвенный станок,9618,255,Товары для дома,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2000-02-26,2013-02-01,2.02,Backorder
120,Рулька,9418,867,Мясо,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2003-07-23,2026-05-01,4.32,In Stock
121,Айран,8823,461,Молочные продукты,Помогает нормализовать артериальное давление и уровень холестерина.,1996-04-08,2017-09-03,4.58,Refunded
122,Кардамон молотый,5991,146,Бакалея,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2016-04-01,2026-06-01,3.43,Out of Stock
123,Моющее средство для стекол,3240,804,Товары для дома,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2019-01-18,2019-05-15,1.2,Temporarily Unavailable
